Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23942,Queer,William S. Burroughs,"Burroughs, William S.",,"=""0330300164""","=""9780330300162""",0,3.49,Picador,Paperback,160,1987,1985,,2024/12/06,,,read,,,,1,0
23940,Junky,William S. Burroughs,"Burroughs, William S.","Oliver  Harris, Allen Ginsberg","=""0142003166""","=""9780142003169""",0,3.84,Penguin ,Paperback,166,2003,1953,,2024/12/06,,,read,,,,1,0
7437,Naked Lunch: The Restored Text,William S. Burroughs,"Burroughs, William S.","James Grauerholz, Barry Miles","=""0802140181""","=""9780802140180""",5,3.46,Grove Press,Paperback,289,2004,1959,,2024/12/06,,,read,,,,1,0
518150,Battle-Pieces and Aspects of the War: Civil War Poems,Herman Melville,"Melville, Herman","Helen Vendler, James M. McPherson","=""1573928933""","=""9781573928939""",3,3.62,Prometheus,Paperback,356,2001,1866,,2024/12/06,,,read,,,,1,0
1708839,I And My Chimney,Herman Melville,"Melville, Herman",,"=""1419125141""","=""9781419125140""",5,3.19,Kessinger Publishing,Paperback,28,2004,1856,,2024/12/06,,,read,,,,1,0
3731,Great Short Works of Herman Melville,Herman Melville,"Melville, Herman",,"=""0060586540""","=""9780060586546""",0,4.05,Harper Perennial Modern Classics,Paperback,512,2004,1969,,2024/12/06,,,read,,,,1,0
12036,The Confidence-Man,Herman Melville,"Melville, Herman","John Dugdale, Tony Tanner","=""0192837621""","=""9780192837622""",5,3.62,Oxford University Press,Paperback,361,1999,1857,,2024/12/06,,,read,,,,1,0
125870,Billy Budd and Other Stories,Herman Melville,"Melville, Herman",Frederick Busch,"=""0140390537""","=""9780140390537""",5,3.56,Penguin Books,Paperback,416,1986,1782,,2024/12/06,,,read,,,,1,0
597320,Typee: A Peep at Polynesian Life,Herman Melville,"Melville, Herman",John Bryant,"=""0140434887""","=""9780140434880""",3,3.57,Penguin Classics,Paperback,368,1996,1846,,2024/12/06,,,read,,,,1,0
178629,Benito Cereno (Bedford College Editions),Herman Melville,"Melville, Herman",Wyn Kelley,"=""031245242X""","=""9780312452421""",5,3.53,Bedford/St. Martin's,Paperback,160,2006,1855,,2024/12/06,,,read,,,,1,0
15613,"Billy Budd, Sailor (Enriched Classics)",Herman Melville,"Melville, Herman",,"=""1416523723""","=""9781416523727""",5,3.19,Pocket Books,Mass Market Paperback,166,2006,1924,,2024/12/06,,,read,,,,1,0
114230,Bartleby the Scrivener,Herman Melville,"Melville, Herman",,"=""0974607800""","=""9780974607801""",5,3.93,Melville House,Paperback,64,2004,1853,,2024/12/06,,,read,,,,1,0
153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",5,3.57,Penguin Classics ,Paperback,720,2003,1851,,2024/12/06,,,read,,,,1,0
7815,The Year of Magical Thinking,Joan Didion,"Didion, Joan",,"=""1400078431""","=""9781400078431""",5,3.93,Vintage,Paperback,227,2007,2005,,2024/12/06,,,read,,,,1,0
12468,The Executioner's Song,Norman Mailer,"Mailer, Norman",,"=""0375700811""","=""9780375700811""",5,4.05,Vintage,Paperback,1056,1998,1979,,2024/12/06,,,read,,,,1,0
31170723,Behave: The Biology of Humans at Our Best and Worst,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""1594205078""","=""9781594205071""",5,4.38,Penguin Press,Hardcover,790,2017,2017,,2024/12/06,,,read,,,,1,0
230733,Straw Dogs: Thoughts on Humans and Other Animals,John   Gray,"Gray, John",,"=""1862075964""","=""9781862075962""",4,3.93,Granta Books,Paperback,246,2003,2002,,2024/12/06,,,read,,,,1,0
123471,I Am a Strange Loop,Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465030785""","=""9780465030781""",4,3.95,Basic Books,Hardcover,436,2007,2007,,2024/12/06,,,read,,,,1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",5,4.29,Basic Books,Paperback,777,1999,1979,,2024/12/06,,,read,,,,1,0
355190,Orientalism,Edward W. Said,"Said, Edward W.",,"=""""","=""""",5,4.13,Vintage,Paperback,424,2003,1978,,2024/12/06,,,read,,,,1,0
52374,Against Interpretation and Other Essays,Susan Sontag,"Sontag, Susan",,"=""0312280866""","=""9780312280864""",5,4.14,Picador,Paperback,336,2001,1966,,2024/12/06,,,read,,,,1,0
3641003,What Should We Do with Our Brain? (Que faire de notre cerveau?),Catherine Malabou,"Malabou, Catherine","Sebastian Rand, Marc Jeannerod","=""082322953X""","=""9780823229536""",5,3.91,Fordham University Press,Paperback,120,2008,2004,,2024/12/06,,,read,,,,1,0
29901417,Foams: Spheres Volume III: Plural Spherology,Peter Sloterdijk,"Sloterdijk, Peter",Wieland Hoban,"=""158435187X""","=""9781584351870""",5,4.32,Semiotext(e),Hardcover,912,2016,,2024/09/05,2024/12/06,,,read,,,,2,0
22089678,Globes: Spheres Volume II: Macrospherology,Peter Sloterdijk,"Sloterdijk, Peter",Wieland Hoban,"=""1584351608""","=""9781584351603""",5,4.40,Semiotext(e),Hardcover,1024,2014,1999,2024/06/05,2024/12/06,,,read,,,,2,0
